timestamp,B1,B2,D1,D2,F1,F2,H1,H2
2022/10/26-17:42:00,1067.983521,1334.708496,1078.028442,986.9753418,1011.687683,926.9140625,878.5255737,753.423645
2022/10/26-17:42:30,1067.66626,1334.479248,1079.97644,1011.376831,1010.713318,928.7115479,878.8408813,754.8952026
2022/10/26-17:43:00,1067.751465,1337.331543,1082.391113,1012.113403,1010.354675,929.4333496,880.0914917,755.5050659
2022/10/26-17:43:30,1066.063232,1340.989868,1082.984131,1011.318726,1011.710693,927.5284424,882.734436,754.9906616
2022/10/26-17:44:00,1065.462524,1341.881836,1079.699951,1005.744629,1011.758667,931.8533325,886.4694214,755.921936
2022/10/26-17:44:30,1064.308716,1341.661743,1080.219727,1000.45166,1013.303345,927.0223389,886.4825439,754.9772949
2022/10/26-17:45:00,1064.887451,1344.005981,1080.178833,997.8336182,1014.47113,928.5349731,888.6942139,755.3060913
2022/10/26-17:45:30,1064.078491,1344.21228,1081.050049,1005.686768,1013.672546,927.4147339,888.1900635,754.4229126
2022/10/26-17:46:00,1064.94812,1343.255127,1083.215942,1004.82312,1012.686096,927.1734009,889.5964355,756.4199829
2022/10/26-17:46:30,1065.564209,1337.495483,1085.411011,1004.867188,1013.599304,929.6331177,888.9507446,758.1340332
2022/10/26-17:47:00,1063.260376,1335.450806,1083.266968,1001.835083,1015.452148,927.2695923,888.65802,757.756958
2022/10/26-17:47:30,1059.272583,1334.71936,1081.364868,996.699707,1015.129211,926.3804321,887.5690308,760.3041992
2022/10/26-17:48:00,1059.402222,1332.019531,1081.922852,991.7480469,1016.366028,925.4523315,885.6298828,760.4584961
2022/10/26-17:48:30,1059.966309,1331.797729,1080.855225,990.243042,1016.299805,924.5784912,883.8111572,762.055481
2022/10/26-17:49:00,1060.013672,1334.992676,1084.125244,984.0949707,1017.994141,925.1030884,882.267395,766.4509277
2022/10/26-17:49:30,1059.883301,1335.219482,1082.585449,978.088501,1017.702271,925.3511963,883.1533813,767.0259399
2022/10/26-17:50:00,1061.68811,1334.932129,1082.417236,961.3391113,1016.762634,921.8994751,882.7779541,766.593811
2022/10/26-17:50:30,1064.432251,1336.076782,1082.679565,932.0118408,1016.224182,916.5700684,882.0442505,767.6820679
2022/10/26-17:51:00,1068.334229,1339.412964,1082.460449,933.1328125,1013.537659,911.6358032,885.4402466,766.7576294
2022/10/26-17:51:30,1072.711304,1342.879761,1080.447388,930.9445801,1011.907898,907.1202393,884.6333618,763.3378906
2022/10/26-17:52:00,1075.127075,1345.878418,1081.703613,926.2549438,1010.949768,906.0256958,882.7248535,760.1185913
2022/10/26-17:52:30,1074.549805,1346.484375,1081.456421,933.5651855,1009.766968,905.079834,881.1705933,756.9162598
